citation_key,title,authors,year,venue,volume_pages,doi,official_url,ccf_rank,recent_2024_2026,supports_section,verification_status
hu2025vlmmia,"Membership Inference Attacks Against Vision-Language Models","Yuke Hu; Zheng Li; Zhihao Liu; Yang Zhang; Zhan Qin; Kui Ren; Chun Chen",2025,"USENIX Security 2025","pp. 1589-1608","","https://www.usenix.org/conference/usenixsecurity25/presentation/hu-yuke",A,yes,"set-level membership inference","verified on USENIX proceedings"
pang2025diffusionmia,"Black-box Membership Inference Attacks against Fine-tuned Diffusion Models","Yan Pang; Tianhao Wang",2025,"NDSS 2025","conference paper","","https://www.ndss-symposium.org/ndss-paper/black-box-membership-inference-attacks-against-fine-tuned-diffusion-models/",A,yes,"black-box threat model","verified on NDSS proceedings"
peng2025diffence,"Diffence: Fencing Membership Privacy With Diffusion Models","Yuefeng Peng; Ali Naseh; Amir Houmansadr",2025,"NDSS 2025","conference paper","","https://www.ndss-symposium.org/ndss-program/symposium-2025/",A,yes,"defense privacy-utility comparison","verified on NDSS program and paper link"
chen2025facilitate,"A Method to Facilitate Membership Inference Attacks in Deep Learning Models","Zitao Chen; Karthik Pattabiraman",2025,"NDSS 2025","conference paper","","https://www.ndss-symposium.org/ndss-program/symposium-2025/",A,yes,"active-adversary exclusion; audit caveat","verified on NDSS program and paper link"
wang2025siguard,"SIGuard: Guarding Secure Inference with Post Data Privacy","Xinqian Wang; Xiaoning Liu; Shangqi Lai; Xun Yi; Xingliang Yuan",2025,"NDSS 2025","conference paper","","https://www.ndss-symposium.org/ndss-paper/siguard-guarding-secure-inference-with-post-data-privacy/",A,yes,"HE does not imply output membership privacy","verified on NDSS proceedings"
du2026cascading,"Cascading and Proxy Membership Inference Attacks","Yuntao Du; Jiacheng Li; Yuetian Chen; Kaiyuan Zhang; Zhizhen Yuan; Hanshen Xiao; Bruno Ribeiro; Ninghui Li",2026,"NDSS 2026","paper 230661","10.14722/ndss.2026.230661","https://www.ndss-symposium.org/ndss-paper/cascading-and-proxy-membership-inference-attacks/",A,yes,"shadow-model sensitivity; low-FPR evaluation","verified on NDSS proceedings and DOI-bearing paper"
shokri2017mia,"Membership Inference Attacks Against Machine Learning Models","Reza Shokri; Marco Stronati; Congzheng Song; Vitaly Shmatikov",2017,"IEEE Symposium on Security and Privacy","pp. 3-18","10.1109/SP.2017.41","https://doi.org/10.1109/SP.2017.41",A,no,"membership inference foundations","verified via IEEE DOI metadata"
salem2019mlleaks,"ML-Leaks: Model and Data Independent Membership Inference Attacks and Defenses on Machine Learning Models","Ahmed Salem; Yang Zhang; Mathias Humbert; Pascal Berrang; Mario Fritz; Michael Backes",2019,"NDSS 2019","conference paper","10.14722/ndss.2019.23119","https://www.ndss-symposium.org/ndss-paper/ml-leaks-model-and-data-independent-membership-inference-attacks-and-defenses-on-machine-learning-models/",A,no,"shadow-model assumptions","verified on NDSS proceedings"
carlini2022firstprinciples,"Membership Inference Attacks From First Principles","Nicholas Carlini; Steve Chien; Milad Nasr; Shuang Song; Andreas Terzis; Florian Tramer",2022,"IEEE Symposium on Security and Privacy","pp. 1897-1914","10.1109/SP46214.2022.9833649","https://doi.org/10.1109/SP46214.2022.9833649",A,no,"likelihood-ratio attacks; low-FPR metrics","verified via IEEE DOI metadata"
watson2022difficulty,"On the Importance of Difficulty Calibration in Membership Inference Attacks","Lauren Watson; Chuan Guo; Graham Cormode; Alexandre Sablayrolles",2022,"ICLR 2022","conference paper","","https://openreview.net/forum?id=3eIrli0TwQ",A,no,"attack calibration","verified on OpenReview conference record"
nasr2023tight,"Tight Auditing of Differentially Private Machine Learning","Milad Nasr; Jamie Hayes; Thomas Steinke; Borja Balle; Florian Tramer; Matthew Jagielski; Nicholas Carlini; Andreas Terzis",2023,"USENIX Security 2023","pp. 1631-1648","","https://www.usenix.org/conference/usenixsecurity23/presentation/nasr",A,no,"empirical DP audit","verified on USENIX proceedings"
steinke2023one,"Privacy Auditing with One (1) Training Run","Thomas Steinke; Milad Nasr; Matthew Jagielski",2023,"NeurIPS 2023","Advances in Neural Information Processing Systems 36","","https://proceedings.neurips.cc/paper_files/paper/2023/hash/9a6f6e0d6781d1cb8689192408946d73-Abstract-Conference.html",A,no,"privacy auditing; independent inclusion","verified on NeurIPS proceedings"
jagielski2020audit,"Auditing Differentially Private Machine Learning: How Private is Private SGD?","Matthew Jagielski; Jonathan Ullman; Alina Oprea",2020,"NeurIPS 2020","Advances in Neural Information Processing Systems 33","","https://proceedings.neurips.cc/paper_files/paper/2020/hash/fc4ddc15f9f4b4b06ef7844d6bb53abf-Abstract.html",A,no,"DP implementation audit","verified on NeurIPS proceedings"
abadi2016dpsgd,"Deep Learning with Differential Privacy","Martin Abadi; Andy Chu; Ian Goodfellow; H. Brendan McMahan; Ilya Mironov; Kunal Talwar; Li Zhang",2016,"ACM CCS 2016","pp. 308-318","10.1145/2976749.2978318","https://doi.org/10.1145/2976749.2978318",A,no,"DP learning background","verified via ACM DOI metadata"
dwork2006calibrating,"Calibrating Noise to Sensitivity in Private Data Analysis","Cynthia Dwork; Frank McSherry; Kobbi Nissim; Adam Smith",2006,"TCC 2006","LNCS 3876 pp. 265-284","10.1007/11681878_14","https://doi.org/10.1007/11681878_14",B,no,"DP definition and sensitivity","verified via Springer DOI metadata"
dwork2014foundations,"The Algorithmic Foundations of Differential Privacy","Cynthia Dwork; Aaron Roth",2014,"Foundations and Trends in Theoretical Computer Science","9(3-4):211-407","10.1561/0400000042","https://doi.org/10.1561/0400000042","N/A",no,"DP foundations and composition","verified via publisher DOI metadata"
canonne2020discrete,"The Discrete Gaussian for Differential Privacy","Clément L. Canonne; Gautam Kamath; Thomas Steinke",2020,"NeurIPS 2020","Advances in Neural Information Processing Systems 33","","https://proceedings.neurips.cc/paper/2020/hash/b53b3a3d6ab90ce0268229151c9bde11-Abstract.html",A,no,"integer-valued DP mechanisms","verified on NeurIPS proceedings"
mironov2017rdp,"Renyi Differential Privacy","Ilya Mironov",2017,"IEEE Computer Security Foundations Symposium","pp. 263-275","10.1109/CSF.2017.11","https://doi.org/10.1109/CSF.2017.11",C,no,"privacy accounting alternatives","verified via IEEE DOI metadata"
kairouz2015composition,"The Composition Theorem for Differential Privacy","Peter Kairouz; Sewoong Oh; Pramod Viswanath",2015,"ICML 2015","PMLR 37:1376-1385","","https://proceedings.mlr.press/v37/kairouz15.html",A,no,"privacy composition","verified on PMLR proceedings"
ghosh2009geometric,"Universally Utility-Maximizing Privacy Mechanisms","Arpita Ghosh; Tim Roughgarden; Mukund Sundararajan",2009,"ACM STOC 2009","pp. 351-360","10.1145/1536414.1536464","https://doi.org/10.1145/1536414.1536464",A,no,"two-sided geometric mechanism context","verified via ACM DOI metadata"
paillier1999,"Public-Key Cryptosystems Based on Composite Degree Residuosity Classes","Pascal Paillier",1999,"EUROCRYPT 1999","LNCS 1592 pp. 223-238","10.1007/3-540-48910-X_16","https://link.springer.com/chapter/10.1007/3-540-48910-X_16",B,no,"Paillier construction and semantic security","verified on Springer proceedings"
bonawitz2017secureagg,"Practical Secure Aggregation for Privacy-Preserving Machine Learning","Keith Bonawitz; Vladimir Ivanov; Ben Kreuter; Antonio Marcedone; H. Brendan McMahan; Sarvar Patel; Daniel Ramage; Aaron Segal; Karn Seth",2017,"ACM CCS 2017","pp. 1175-1191","10.1145/3133956.3133982","https://doi.org/10.1145/3133956.3133982",A,no,"secure aggregation related work","verified via ACM DOI metadata"
bell2020secureagg,"Secure Single-Server Aggregation with (Poly)Logarithmic Overhead","James Bell; K. A. Bonawitz; Adriana Gascón; Tancrède Lepoint; Mariana Raykova",2020,"ACM CCS 2020","pp. 1253-1269","10.1145/3372297.3417885","https://doi.org/10.1145/3372297.3417885",A,no,"secure aggregation alternatives","verified via ACM DOI metadata"
sennrich2016bpe,"Neural Machine Translation of Rare Words with Subword Units","Rico Sennrich; Barry Haddow; Alexandra Birch",2016,"ACL 2016","pp. 1715-1725","10.18653/v1/P16-1162","https://aclanthology.org/P16-1162/",A,no,"BPE preliminaries","verified on ACL Anthology"
kudo2018sentencepiece,"SentencePiece: A Simple and Language Independent Subword Tokenizer and Detokenizer for Neural Text Processing","Taku Kudo; John Richardson",2018,"EMNLP 2018 System Demonstrations","pp. 66-71","10.18653/v1/D18-2012","https://aclanthology.org/D18-2012/",B,no,"tokenizer implementation context","verified on ACL Anthology"
raffel2020c4,"Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer","Colin Raffel; Noam Shazeer; Adam Roberts; Katherine Lee; Sharan Narang; Michael Matena; Yanqi Zhou; Wei Li; Peter J. Liu",2020,"Journal of Machine Learning Research","21(140):1-67","","https://jmlr.org/papers/v21/20-074.html",A,no,"C4 provenance","verified on JMLR official page"
zhang2015charcnn,"Character-level Convolutional Networks for Text Classification","Xiang Zhang; Junbo Zhao; Yann LeCun",2015,"NeurIPS 2015","Advances in Neural Information Processing Systems 28","","https://proceedings.neurips.cc/paper/2015/hash/250cf8b51c773f3f8dc8b4be867a9a02-Abstract.html",A,no,"AG News benchmark provenance","verified on NeurIPS proceedings"
carlini2021extract,"Extracting Training Data from Large Language Models","Nicholas Carlini; Florian Tramer; Eric Wallace; Matthew Jagielski; Ariel Herbert-Voss; Katherine Lee; Adam Roberts; Tom Brown; Dawn Song; Ulfar Erlingsson; Alina Oprea; Colin Raffel",2021,"USENIX Security 2021","pp. 2633-2650","","https://www.usenix.org/conference/usenixsecurity21/presentation/carlini-extracting",A,no,"memorization and extraction background","verified on USENIX proceedings"
